Timestamp,year,TOT_PREP(mm),Total rrad,Tatal PFD,Total Global Rad,Global Ref,Std Global Rad,Std Ref Rad,Max Wind_S,Time,AirTC_Max,Time,RH_Max,Time,min Wind_s,Time,AirTC_Min,Time,RH_Min,Tmin RH,MWind Seep,MWind deg.,Std m deg,Std Wind_S,0-45,45-90,90-135,135-180,180-225,225-270,270-315,315-360,Volt,Comentarios
1/1/2015,2015,0.2,3186,16561,619.2,68.43,208.4,23.24,5.395,1019,27.3,1411,89.1,612,0,2,21.53,610,62.44,1411,1.277,85.3,73.3,0.733,0.2,0.294,0.302,0.16,0.072,0.056,0.102,0.091,12.38,
2/1/2015,2015,0.3,2227.6,11892,435.6,48.3,132.4,15.84,6.513,2359,25.59,1547,88.1,708,0,2,19.84,2349,68.81,1506,1.099,183.5,76.7,0.68,0.107,0.143,0.184,0.163,0.177,0.15,0.116,0.06,12.39,
3/1/2015,2015,1.3,2503.7,13153,486.4,49.89,177.1,19.73,6.353,922,24.95,1252,87.7,1416,0,202,20.15,0,67.37,1217,1.394,162.2,81.5,0.751,0.129,0.168,0.262,0.291,0.211,0.147,0.116,0.069,12.39,
4/1/2015,2015,0.2,2493.2,12959,485.5,54.09,169.4,19.76,6.833,512,25.31,1315,85.9,525,0,3,20.4,531,58.75,1317,1.437,149.9,82.9,0.836,0.147,0.187,0.294,0.28,0.17,0.143,0.131,0.085,12.4,
5/1/2015,2015,3.8,2408.1,12830,470.2,50,145.8,16.4,6.034,1247,24.13,1429,90.2,1253,0,7,20.99,1257,69.63,1013,0.99,130.1,69.6,0.857,0.085,0.157,0.278,0.208,0.088,0.066,0.065,0.042,12.39,
6/1/2015,2015,2.1,3343.7,17464,645.8,65.85,205.7,22.31,6.353,36,26.53,1429,90.3,140,0,2,20.12,104,58.91,1430,1.378,142.2,71.9,0.851,0.124,0.173,0.368,0.296,0.143,0.102,0.105,0.068,12.38,
7/1/2015,2015,0.9,4338.3,22446,839,85.5,274.1,29.27,6.034,1204,26.83,1322,88.8,2211,0,0,20.21,351,53.34,1419,1.351,132.5,61.84,0.863,0.16,0.239,0.332,0.27,0.152,0.067,0.062,0.069,12.38,
8/1/2015,2015,0.7,3889.5,20338,759,77,247.5,26.67,4.915,2347,27.51,1545,86.7,1932,0,49,20.32,1928,54.43,1546,1.294,149.2,59.27,0.753,0.142,0.15,0.236,0.4,0.186,0.062,0.057,0.061,12.38,
9/1/2015,2015,3.8,2414.4,12877,467.1,45.3,152.2,16.25,6.833,1219,24.71,1609,91.9,1240,0,33,20.61,328,69.81,916,1.115,142.8,70.4,0.696,0.094,0.108,0.226,0.383,0.122,0.053,0.069,0.058,12.39,
10/1/2015,2015,10.8,2962.2,15542,581.9,64.01,196.6,21.96,5.075,1310,26.3,1412,95.9,2029,0,10,20.77,143,67.47,1412,0.93,216.7,71.3,0.69,0.182,0.152,0.104,0.084,0.129,0.117,0.098,0.066,12.39,
11/1/2015,2015,6.1,3027.5,15814,590.3,59.74,210.7,22.45,5.554,2318,25.59,1321,92,639,0,1,20.82,2318,65.26,1252,1.364,122.7,84.2,0.737,0.164,0.217,0.302,0.219,0.123,0.125,0.139,0.076,12.38,
12/1/2015,2015,2.2,2154.6,11583,428.9,46.17,133.8,15.35,7.15,1110,24.15,1314,92.1,650,0,2,20.7,2211,74.7,1116,1.491,93.2,84.3,0.935,0.221,0.36,0.315,0.152,0.109,0.119,0.142,0.072,12.39,
13/01/2015,2015,3,3045.1,16035,593.3,61.02,205.2,21.58,6.833,1128,25.47,1440,93.5,2315,0,1,20.43,455,64.85,1222,1.342,141.7,75.2,0.865,0.236,0.294,0.187,0.11,0.14,0.16,0.125,0.09,12.38,
14/01/2015,2015,4,2369.9,12640,472.6,45.44,180.3,18.87,5.554,28,26.14,1251,92.9,155,0,2,20.21,40,68.76,1325,0.889,236.6,77.3,0.649,0.091,0.118,0.084,0.072,0.128,0.178,0.172,0.047,12.39,
15/01/2015,2015,0.8,1947.9,10281,383.3,38.28,134.1,15.05,3.477,553,25.78,1359,91.9,348,0,2,20.94,542,71.4,1349,0.788,254.6,63.41,0.507,0.047,0.038,0.035,0.047,0.116,0.224,0.234,0.047,12.38,
16/01/2015,2015,0.2,4701.7,24195,920,93.7,285.6,29.55,5.235,1701,28.4,1410,87.8,222,0,4,21.06,522,53.67,1410,0.946,275.8,76.9,0.645,0.115,0.059,0.046,0.088,0.164,0.144,0.215,0.115,12.38,
17/01/2015,2015,5.4,3094,16362,585.9,52.35,196.8,18.21,6.194,307,26.95,1511,90.5,2232,0,0,20.49,2306,57.87,1516,1.206,218.8,46.9,0.903,0.057,0.038,0.031,0.306,0.442,0.138,0.132,0.062,12.38,
18/01/2015,2015,0.1,3254.4,17095,640.5,68.56,190.6,20.23,3.797,1221,25.47,1242,91.1,34,0,2,20.45,45,67.12,616,0.887,247.6,44.37,0.592,0.135,0.044,0.02,0.102,0.187,0.087,0.152,0.159,12.38,
19/01/2015,2015,0,3970.9,20956,753,67.8,253.3,24.14,6.513,1523,25.5,1056,83.6,242,0,22,20.88,2310,56.63,856,1.308,311.4,45.8,0.984,0.185,0.045,0.012,0.031,0.07,0.075,0.459,0.43,12.37,
20/01/2015,2015,0.7,3168.9,17069,606,52.86,188.5,18.39,3.317,5,25.04,1140,85.2,2326,0,11,20.5,556,60.9,1137,0.858,254.7,38.38,0.565,0.139,0.035,0.037,0.133,0.099,0.101,0.193,0.122,12.39,
21/01/2015,2015,0,5710.6,30156,1123,112.8,316.5,32.8,4.755,1450,28.23,1615,88.4,2228,0,0,20.4,652,50.82,1616,0.817,176.8,56.62,0.609,0.116,0.083,0.067,0.214,0.111,0.069,0.084,0.074,12.37,
22/01/2015,2015,4.8,2127,12171,430.9,42.8,162.6,16.92,5.395,1332,25.48,1308,100,1641,0,0,20.63,1803,70.9,1309,0.845,188.9,65.26,0.639,0.159,0.069,0.063,0.143,0.144,0.061,0.106,0.1,12.35,
23/01/2015,2015,4.8,2626,14958,546.4,55.27,177.7,18.98,2.998,516,27.85,1605,92.3,409,0,4,20.78,540,61.6,1607,0.686,237.7,60.6,0.488,0.095,0.044,0.037,0.065,0.185,0.107,0.097,0.057,12.39,
24/01/2015,2015,9,3735.3,19612,743,75.2,250.9,26.38,5.554,1645,28.65,1456,92,1242,0,0,20.99,550,58.02,1452,0.785,247.4,64.16,0.598,0.063,0.047,0.052,0.081,0.144,0.141,0.185,0.07,12.38,
25/01/2015,2015,0.3,4188.7,21761,800,74.4,268.7,26.11,5.075,1712,28.08,1339,88.5,659,0,1,20.83,356,52.63,1341,0.825,281.7,66.38,0.598,0.118,0.073,0.037,0.052,0.095,0.124,0.218,0.109,12.38,
26/01/2015,2015,0.8,2586.7,13916,510.4,49.91,184.2,18.82,4.116,551,26.35,1252,90.3,2214,0,11,20.42,704,59.25,1247,0.894,286.2,70.8,0.585,0.108,0.072,0.043,0.05,0.077,0.143,0.279,0.121,12.39,
27/01/15,2015,0.8,5535,28820,1078,103.4,327,32.1,7.31,1028,28.62,1244,89.3,38,0,0,21.11,41,55.49,1244,1.238,223.6,71.8,0.951,0.063,0.043,0.06,0.152,0.432,0.275,0.146,0.066,12.37,
28/01/15,2015,0,3748.4,19687,732,71.9,250.1,25.44,5.395,1400,28.09,1339,88.2,648,0,4,20.67,647,52.07,1329,0.877,255.2,72.9,0.66,0.092,0.055,0.048,0.092,0.171,0.147,0.178,0.093,12.39,
29/01/15,2015,8.4,3585.3,23694,898,89.7,252.6,25.62,3.956,854,28.17,1531,90.5,828,0,1,19.83,204,52.09,1453,0.875,182.8,56.85,0.603,0.112,0.096,0.097,0.216,0.126,0.074,0.09,0.065,12.37,
30/01/15,2015,5.8,2878.2,15522,573.8,57.9,185.1,19.3,4.436,440,25.55,1637,90.6,452,0,223,20.1,503,68.29,1639,0.945,162.4,55.1,0.564,0.06,0.055,0.117,0.436,0.132,0.038,0.062,0.045,12.38,
31/01/15,2015,0,3654.1,19294,710,69.33,256.9,26.64,4.755,1225,27.06,1348,85.5,804,0,1,20.93,353,59.15,1350,1.121,157.6,56.74,0.641,0.083,0.055,0.136,0.559,0.128,0.032,0.061,0.067,12.38,
1/2/2015,2015,1,358.65,9065.7,326.8,37.05,90.3,11.84,5.874,256,23.13,1152,90,343,0,39,20.45,1958,68.29,1113,1.118,178,60.01,0.601,0.048,0.067,0.146,0.359,0.285,0.109,0.068,0.037,12.39,
2/2/2015,2015,1.1,183.65,12360,447.9,46.92,138.7,15.15,6.673,723,24.11,1216,89.6,1636,0,16,20.65,557,68.11,1336,1.354,142.5,67.49,0.797,0.113,0.168,0.344,0.333,0.143,0.086,0.097,0.069,12.39,
3/2/2015,2015,1.7,2583.2,16299,600,58.65,206.9,20.4,4.436,32,25.8,1205,91.2,644,0,15,20.85,427,69.12,1206,0.874,131.3,62.3,0.669,0.14,0.153,0.159,0.136,0.092,0.064,0.07,0.06,12.38,
4/2/2015,2015,3.9,5674.3,29105,1102,109.7,333.1,33.35,4.116,1146,28.67,1322,91,2101,0,17,20.48,2356,56.09,1439,1.098,155.1,59.07,0.694,0.136,0.115,0.184,0.269,0.129,0.078,0.104,0.083,12.26,
5/2/2015,2015,0.4,4256,23298,884,89.5,285.9,29.17,5.395,1311,27.69,1343,90.4,420,0,2,20.4,147,49.6,1401,0.977,275.2,63.56,0.662,0.155,0.15,0.108,0.089,0.124,0.103,0.15,0.098,12.37,
6/2/2015,2015,0,4801,28020,1035,99.5,313.1,31.29,6.034,1437,29.38,1527,85.9,440,0,1,20.54,627,49.8,1529,1.036,241.1,68.31,0.815,0.15,0.109,0.045,0.147,0.271,0.115,0.116,0.084,12.36,
7/2/2015,2015,0,3243.9,25246,925,90.7,292.5,29.36,5.235,1206,27.22,1622,86,403,0,3,20.67,453,55.29,1612,1.049,133.4,57.09,0.714,0.213,0.078,0.093,0.257,0.109,0.047,0.095,0.159,12.38,
8/2/2015,2015,6.5,2840.7,15444,555.7,54.13,189.6,19.11,3.956,1412,25.62,1232,94,2359,0,3,20.51,2345,65.64,1236,0.933,164.4,66.68,0.605,0.116,0.092,0.112,0.259,0.114,0.069,0.1,0.072,12.3,
9/2/2015,2015,1.6,3335.4,18364,655.4,63.56,219.5,21.96,5.395,1601,26.42,1349,94.2,0,0,7,20.49,506,65.1,1350,0.979,290.3,71.6,0.641,0.144,0.072,0.045,0.051,0.086,0.154,0.304,0.124,12.38,
10/2/2015,2015,0.6,4491.2,23760,876,85.7,275.2,27.15,10.03,857,26.94,1654,90.4,228,0,4,21.03,401,56.07,1718,1.643,176.5,77.5,1.075,0.175,0.193,0.168,0.332,0.344,0.178,0.166,0.087,12.4,
11/2/2015,2015,0,5133,31192,1148,112.2,337.7,34.06,10.35,247,30.11,1408,75.5,2350,0,2,22.34,520,49.09,1408,1.788,195.2,67.02,1.182,0.117,0.14,0.138,0.321,0.604,0.254,0.137,0.078,12.38,
12/2/2015,2015,3.1,1790.1,9901.9,349.1,33.87,118.8,12.87,8.43,440,23.86,1357,100,503,0,2,19.19,631,71.5,1247,1.181,234.2,43.79,0.748,0.087,0.026,0.052,0.311,0.139,0.156,0.274,0.136,12.39,
13/02/15,2015,2,3174.4,17557,621.3,60.07,190.5,18.41,4.116,1403,25.32,1441,90.9,2309,0,30,20.68,152,73.2,1002,0.718,159.7,59.93,0.603,0.115,0.083,0.083,0.137,0.106,0.052,0.084,0.058,12.39,
14/02/15,2015,23.3,1943.8,10858,383.2,35.87,120,12.51,6.194,1600,24.21,1445,92.5,1552,0,0,20.61,1803,75.4,1440,0.916,253.2,73.7,0.65,0.116,0.059,0.035,0.077,0.241,0.138,0.171,0.078,12.39,
15/02/15,2015,6.4,2325.4,12898,464.9,46.74,132.3,13.57,4.116,2355,24.47,1619,100,1157,0,1,20.78,1201,70,1605,1.006,300.2,48.12,0.686,0.173,0.038,0.034,0.056,0.058,0.136,0.305,0.206,12.39,
16/02/15,2015,51.1,600.9,3620.4,118.1,3.632,33.77,3.265,7.63,545,22.14,27,100,154,0,841,-39.81,657,0.173,653,1.906,324.7,66.83,1.134,0.507,0.126,0.115,0.144,0.107,0.111,0.457,0.341,12.38,
24/04/15,2015,0,2620.3,31752,2122,204.9,439.8,41.51,7.63,1300,30.12,1249,66.8,2159,0,1014,23.45,2200,47.15,1225,1.818,193,60.82,1.351,0.058,0.077,0.077,0.337,0.907,0.245,0.069,0.049,12.42,
25/04/15,2015,0,922.25,42598,1598,152.8,394,37.04,8.59,1138,29.2,1413,81.8,445,0,0,21.55,513,47.65,1209,1.903,187.6,54.71,1.355,0.116,0.085,0.074,0.41,0.959,0.172,0.044,0.043,12.37,
26/04/15,2015,0,2665.9,38627,1456,144.1,382.5,37.18,9.07,1447,28.45,1623,81,457,0,7,22.18,458,55.16,1407,1.984,192.8,56.39,1.507,0.08,0.085,0.112,0.411,0.996,0.206,0.056,0.038,12.36,
27/04/15,2015,0,8157.5,37640,1384,131.8,389.8,37.13,10.67,1122,29.24,1411,80.2,2358,0,0,22.38,445,56.8,1309,1.832,195.5,57.16,1.448,0.133,0.079,0.094,0.389,0.786,0.22,0.071,0.06,12.36,
28/04/15,2015,0,8253.3,38826,2301,232,413.5,40.05,9.55,1725,29.44,1349,74.6,2024,0,1343,23.19,2358,53.39,1350,2.669,208,48.4,1.415,0.029,0.032,0.084,0.394,1.492,0.505,0.103,0.029,12.36,
29/04/15,2015,0,12049,42127,1621,167.5,400.6,39.93,10.67,608,28.39,1328,79,2315,0,0,22.66,456,55.59,1437,2.815,207.5,57.41,1.791,0.064,0.065,0.117,0.417,1.43,0.522,0.143,0.056,12.35,
30/04/15,2015,0,10857,38849,1479,150.6,379.2,37.24,12.11,1026,28.32,1207,80.8,2357,0,706,22.64,421,55.55,1131,2.741,197,56.61,1.552,0.055,0.067,0.147,0.596,1.381,0.369,0.091,0.035,12.35,
1/5/2015,2015,0,11343,40259,1529,155.2,387.2,38.34,10.35,1214,28.92,1641,84.8,505,0,106,21.87,2236,46.15,1339,1.605,224.6,76.1,1.245,0.123,0.082,0.114,0.274,0.426,0.254,0.196,0.136,12.35,
2/5/2015,2015,0,7928,27945,1078,112.2,314.5,31.79,7.95,1542,29.57,1525,86.2,344,0,0,21.58,339,50.47,1351,1.214,239.6,69.94,0.938,0.091,0.06,0.066,0.12,0.338,0.216,0.209,0.114,12.36,
3/5/2015,2015,0.9,6589.4,23581,905,95,268.5,28.04,6.353,1617,28.17,1432,87.1,2353,0,0,21.68,603,58.74,1503,0.857,267.2,68.77,0.791,0.085,0.058,0.046,0.091,0.16,0.136,0.182,0.099,12.35,
4/5/2015,2015,0,6496,26448,1021,106.7,295.7,30.72,7.63,1246,30.02,1535,88.3,535,0,6,22.14,10,52.81,1456,1.16,320.4,74,0.923,0.233,0.184,0.102,0.06,0.077,0.13,0.216,0.158,12.35,
5/5/2015,2015,0,8559.6,34037,1300,134.7,365.3,37.39,6.034,1016,28.81,1321,85.4,250,0,3,21.57,546,53.26,1151,1.225,343.4,65.24,0.915,0.3,0.211,0.115,0.086,0.09,0.1,0.165,0.158,12.26,
6/5/2015,2015,0,7493.1,26621,1016,104.5,301.3,30.93,6.513,1355,28.62,1258,82.6,238,0,0,21.33,323,51.63,1422,1.097,273.1,61.08,0.983,0.265,0.179,0.072,0.058,0.109,0.157,0.141,0.116,12.14,
7/5/2015,2015,0.4,11298,40087,1535,158.2,384.6,38.83,10.67,1409,29.47,1236,84.4,141,0,0,21.55,534,44.98,1604,1.379,286.3,70.8,1.077,0.154,0.076,0.066,0.09,0.133,0.211,0.399,0.249,12.39,
8/5/2015,2015,0,6488.5,28871,1109,115.4,320.5,32.75,5.874,1157,28.93,1245,84.2,156,0,0,21.64,455,47.27,1315,1.173,333.7,64.93,0.936,0.279,0.191,0.115,0.061,0.067,0.12,0.191,0.149,12.38,
9/5/2015,2015,0,4161.7,24784,933,97.1,272.7,28.14,6.513,1344,27.77,1401,78.7,212,0,0,21.71,214,48.47,1402,1.263,6.348,70.8,0.956,0.285,0.249,0.139,0.084,0.09,0.121,0.164,0.13,12.38,
10/5/2015,2015,1,6750.4,24460,911,95.5,244.2,25.72,6.993,1141,27.59,1459,88.4,2045,0,1,22.19,540,55.42,1459,1.597,54.69,78.2,0.963,0.352,0.356,0.263,0.131,0.08,0.077,0.168,0.17,12.37,
11/5/2015,2015,1.7,7165.7,25797,972,101.6,275.8,28.64,6.993,1054,27.54,1302,87.4,411,0,8,21.56,417,51.44,1452,1.436,82.5,78,0.978,0.256,0.311,0.256,0.162,0.098,0.093,0.142,0.119,12.37,
12/5/2015,2015,0,5686.8,20126,1235,131.7,280.3,29.83,6.513,1148,27.59,1455,88.4,858,0,856,22.26,2359,56.03,1456,1.566,33.17,76.1,1.044,0.393,0.324,0.216,0.094,0.072,0.1,0.167,0.199,12.16,
13/05/15,2015,0,10347,37467,1437,149.2,377.9,38.62,6.993,1328,28.96,1516,83,640,0,0,22,46,47.85,1517,1.29,29.14,65.63,1.051,0.357,0.248,0.141,0.085,0.079,0.106,0.132,0.142,12.4,
14/05/15,2015,0,3916.2,30555,1141,117.9,336.7,34.71,5.554,1133,28.98,1410,83.9,517,0,2,21.57,523,53.8,1410,1.186,103.5,70,0.783,0.218,0.194,0.196,0.192,0.092,0.077,0.104,0.113,12.38,
15/05/15,2015,3.2,2190.2,36181,1369,138.6,364.8,36.5,6.034,1420,29.58,1416,88.6,400,0,48,21.11,412,46.95,1418,1.123,111.2,57.54,0.851,0.23,0.162,0.174,0.229,0.092,0.044,0.088,0.104,12.37,
16/05/15,2015,4.6,690.83,18358,683.4,68.16,198.3,20.08,3.956,1604,26.75,1411,91.3,832,0,1,20.67,803,60.61,1411,0.928,143.5,54.08,0.661,0.15,0.084,0.119,0.273,0.1,0.042,0.072,0.088,12.37,
17/05/15,2015,3.7,412.81,20969,783,80.7,231.8,23.82,6.034,1111,28.46,1432,88,2022,0,0,21.57,2034,56.27,1437,0.952,133.1,60.27,0.761,0.132,0.119,0.166,0.227,0.096,0.049,0.083,0.081,12.37,
18/05/15,2015,0.1,454.39,27088,1017,102.6,299.2,30.19,5.395,1452,28.99,1203,86.9,11,0,208,21.61,545,51.72,1223,1.103,144.7,50.93,0.777,0.172,0.082,0.115,0.371,0.097,0.035,0.095,0.136,12.37,
19/05/15,2015,1.1,926.39,36554,1367,135.3,370.5,37.04,6.353,1325,29.16,1429,88.8,2308,0,2,21.33,341,43.59,1322,0.976,96.2,55.17,0.866,0.228,0.099,0.103,0.135,0.086,0.043,0.102,0.18,12.36,
20/05/15,2015,0,258.28,12143,447.9,46.19,135.6,14.15,4.436,1038,27.28,1247,88.3,3,0,1,21.93,253,64.47,1248,0.733,134.2,52.5,0.622,0.103,0.086,0.123,0.207,0.075,0.025,0.051,0.063,12.37,
21/05/15,2015,0.8,968.78,17771,688,70.9,205.8,21.69,5.874,1254,29.02,1459,88.6,522,0,6,22.63,241,57.4,1509,0.761,302.2,61.99,0.702,0.123,0.093,0.054,0.037,0.053,0.093,0.199,0.11,12.37,
22/05/15,2015,0,163.32,21788,853,90.5,234.4,25.15,6.194,1102,28.98,1642,88.3,414,0,0,23,348,59.07,1646,0.853,299.6,60.3,0.844,0.157,0.113,0.052,0.035,0.053,0.125,0.208,0.11,12.36,
23/05/15,2015,0,1929.3,28599,1119,119.5,313.1,33.15,7.15,1430,29.59,1515,85.7,130,0,0,22.97,603,50.99,1412,1.193,45.2,68.62,0.934,0.288,0.248,0.188,0.095,0.049,0.067,0.119,0.139,12.36,
24/05/15,2015,0,108.79,31938,1231,127.2,343.5,35.67,5.554,1212,29.18,1347,84.8,143,0,2,21.95,528,51.93,1111,1.147,41.58,74.5,0.835,0.246,0.195,0.161,0.099,0.089,0.085,0.132,0.14,12.36,
25/05/15,2015,0.9,1005.4,29242,1123,116.9,345.2,36.36,4.915,852,29.59,1336,85.9,542,0,12,21.77,542,50.8,1336,1.258,132.9,63.54,0.788,0.194,0.167,0.224,0.3,0.117,0.062,0.089,0.106,12.36,
26/05/15,2015,0.7,1405,32202,1250,129.4,371.1,38.63,6.353,1151,28.54,1240,85.5,340,0,33,21.19,447,50.82,1252,1.305,157.8,46.42,0.956,0.217,0.057,0.125,0.385,0.094,0.037,0.137,0.253,12.35,
27/05/15,2015,0,157.69,26101,999,101.4,272.8,28.39,6.034,1035,27.72,1557,79.4,0,0,0,21.82,319,52.87,1557,1.109,154,50.4,0.807,0.172,0.041,0.1,0.408,0.069,0.03,0.112,0.176,12.36,
28/05/15,2015,0.9,1035.9,37693,1428,146.4,388.5,39.77,7.79,1132,31.52,1520,88.1,455,0,1,21.13,458,43.69,1515,1.002,236.5,69.23,0.946,0.107,0.056,0.051,0.134,0.275,0.169,0.117,0.094,12.36,
29/05/15,2015,8.4,174.39,15449,564.2,57.57,191,19.74,4.755,1700,27.56,1319,89,1229,0,1,21.13,1806,65.04,914,0.764,286.9,64.58,0.681,0.125,0.071,0.04,0.071,0.136,0.09,0.132,0.1,12.36,
30/05/15,2015,11.7,717.54,25837,962,94.9,259.1,25.81,7.63,2051,30.43,1216,92.8,2100,0,8,21.8,531,54,1426,0.909,322.3,68.23,0.747,0.17,0.103,0.071,0.108,0.08,0.098,0.168,0.112,12.37,
31/05/15,2015,3.8,421.74,21976,841,86.2,251.2,25.82,5.874,1301,29.2,1234,95.2,542,0,13,22.49,211,60.9,1234,0.846,296.4,68.08,0.76,0.111,0.084,0.071,0.069,0.076,0.127,0.217,0.09,12.32,
1/6/2015,2015,0.6,57.741,24862,963,101.3,291.4,30.31,6.034,919,29.51,1236,90.5,156,0,0,22.75,501,56.09,1252,0.96,338.2,62.8,0.856,0.242,0.14,0.065,0.038,0.04,0.08,0.208,0.147,12.37,
2/6/2015,2015,2.1,64.516,18716,747,77.8,233.8,24.13,5.714,1452,28.52,1149,91.8,522,0,0,22.35,247,62.51,1151,0.816,270.4,61.59,0.743,0.082,0.046,0.032,0.055,0.151,0.169,0.202,0.079,12.38,
3/6/2015,2015,0.8,181.13,18299,744,79.7,223.3,23.67,4.915,1055,27.82,1126,89.3,618,0,0,22.54,204,61.05,1056,0.812,12.24,59.74,0.715,0.159,0.126,0.096,0.09,0.078,0.069,0.103,0.091,12.37,
4/6/2015,2015,0,522.68,33044,1327,141.5,348.2,36.88,7.15,1358,30.03,1316,85.3,111,0,0,22.8,544,55.65,1316,1.077,255.7,62.15,0.948,0.101,0.049,0.044,0.093,0.295,0.221,0.16,0.113,12.37,
5/6/2015,2015,1,664.14,29106,1173,125.2,336.5,35.66,6.194,1319,30.65,1347,90.3,2317,0,0,22.64,456,51.36,1208,0.922,281.8,65.11,0.816,0.091,0.044,0.039,0.08,0.153,0.158,0.227,0.129,12.37,
6/6/2015,2015,0,225.16,25893,1068,119.6,288.3,32.11,8.11,1140,28.94,1231,90.2,3,0,0,22.38,302,59.23,1227,1.182,277.3,74.3,0.945,0.111,0.073,0.072,0.124,0.182,0.18,0.291,0.15,12.38,
7/6/2015,2015,0.1,60.652,21335,872,99.4,254.4,29.01,6.353,1312,29.85,1419,89.3,352,0,0,22.96,2241,59.2,1420,1.024,291.4,71,0.799,0.118,0.056,0.051,0.075,0.107,0.151,0.301,0.165,12.37,
8/6/2015,2015,0,155.41,23340,947,107.3,274.3,30.9,5.395,1034,29.59,1607,85.4,2238,0,0,22.69,129,57.56,1607,0.819,323.7,53.75,0.834,0.214,0.114,0.039,0.022,0.044,0.084,0.17,0.132,12.37,
9/6/2015,2015,0.1,660.98,29080,1184,132.7,323,35.92,5.235,1234,29.99,1312,86.4,51,0,1,22.73,137,50.07,1331,0.888,5.866,61.61,0.794,0.202,0.129,0.115,0.094,0.074,0.065,0.112,0.097,12.37,
10/6/2015,2015,7.4,3560,26327,1063,122.3,288.1,32.44,5.395,1535,28.64,1020,90.3,1954,0,4,22.13,2310,52.81,1021,0.839,218.1,65.13,0.771,0.161,0.112,0.093,0.109,0.105,0.074,0.099,0.086,12.38,
11/6/2015,2015,5,354.27,29531,1205,136.1,322,36.42,5.874,1316,30.22,1217,90,739,0,0,21.71,434,50.65,1218,1.043,14.63,67.28,0.942,0.268,0.22,0.101,0.061,0.072,0.085,0.114,0.12,12.38,
12/6/2015,2015,0.3,116.67,23159,944,108.2,266.2,30.59,5.714,1156,29.14,1239,88.5,549,0,4,22.33,413,60.04,1239,0.883,356.8,65.21,0.849,0.177,0.184,0.107,0.052,0.063,0.093,0.114,0.094,12.38,
13/06/15,2015,1.5,4331,26964,1144,135.8,317.5,37.11,7.79,219,30.78,1341,90.8,419,0,0,22.7,531,48.11,1342,1.156,2.948,73.9,0.95,0.271,0.224,0.117,0.07,0.062,0.113,0.179,0.12,12.38,
